features,importance
check channel,0.23016539378558817
thumb,1.2215996442560348
tri,0.012620946163742949
hate,0.013887930233111285
world,0.11987183750171544
day_group_weekday,1.0733385274576084
make money,0.3132890830294616
look,0.08815608752252085
peopl,0.15537496041286922
boy,0.0030696774270756047
watch,0.28139601516278256
day_group_weekend,0.7683440338150831
shuffl,0.0037958264864431574
danc,0.04478741233099515
video,0.8455728469691446
realli,0.07541567855001848
com,1.3850880434281758
right,0.011586016107015573
dream,0.06895747453122068
love,0.8591652913518004
perri,0.10517952381782296
million,0.05668214500509194
listen,0.03632892319026268
heard,0.0013646744454286063
remix,0.0039424522517871805
vote,0.07751029673863954
hey,0.7246078679085907
guy,0.6800063804707634
plea subscrib,0.27806169465862185
websit,0.35331544417766486
ha,0.13189233231331682
eminem,0.07474951420397839
believ,0.031529427197206125
ref,0.35878389521981474
everyday,0.0038816489626287273
real,0.031640420655423794
fuck,0.025567018487938506
subscrib,11.868914076763577
like comment,1.4013454934889915
check extraordinari,0.00021892868878691933
facebook,0.5080523665993875
visit,0.24036893531130896
view,1.828037142290341
check new,0.16237035560511778
everi,0.035123755915798846
moneygq,1.6980296804831377e-05
chanc,0.06256371674801409
live,0.01801164206097756
share,1.216550169841744
roar,0.009096863272700498
whi,0.21089651136026222
support,0.1009517202608409
zonepa com,0.0002664387976742615
think,0.07560882059548145
mean,0.054053738718658706
rock,0.014592958182220566
don,0.044602312542010025
hope,0.0016794437332330692
today,0.03354351404537666
just,0.3669825380361243
billion,0.4083540421253925
type,0.12026851413121734
want,0.05972108002786738
youtub,3.628187417199366
good,0.1295193612286734
hey guy,0.320156587407728
year,0.03540463610941457
need,0.011691603859991169
plea,5.106861817998415
onlin,0.045713071147928205
check music,0.06318708096463933
everyon,0.05066277841946358
month,0.0488308992790214
anyon,0.003744052777856954
shit,0.10363284951014398
billion view,0.059100206675354365
new mixtap,0.004031732904834953
appreci,0.028674571933867632
mani,0.03593317893000161
thank,1.0394855018695004
new,0.8944651698943465
best song,0.015593501195022846
girl,0.08464779956922365
hear,0.03822528739887095
great,0.043310312775798526
click,0.20036443377541152
like,0.39319289111990247
second,0.01203153392907719
best,0.1844136288323499
help,1.5341247669646954
channel,4.056571960069257
way,0.020998594947064422
music,0.05466566891774063
kati,0.1199744918006639
lyric,0.015343256462839445
sub,0.2915555861186284
guy check,0.032853782158881205
day,0.02502432687515411
say,0.04738945869198241
got,0.12872257952419897
dont,0.14567541534768552
page,0.48819107309321996
veri,0.0440931067524307
funni,0.04962437206672348
comment,0.2264413829798637
hello,0.04034109333833849
check playlist youtub,0.6713166314944591
rap,0.018925784990682423
subscrib channel,0.5924894700602981
work,0.09396394651358171
life,0.02989682614579454
start,0.06492336081241436
awesom,0.035907749368619415
god,0.0022014032479991154
shakira,0.12059737070957598
love song,0.07308505810819058
onli,0.09983850693237838
rapper,0.01617837740524073
friend,0.07402792044035882
pray,0.01472007777437282
style,0.022300459772317784
lot,0.046444027599215704
make,0.30440822809850454
post,0.03715740579089736
traffic_group_unknown_time,7.238259498996821
quot,0.1483459022633868
becaus,0.038936029651129786
parti,0.013388906923637827
check video,2.0372760484054555
check,12.833852589871414
come,0.11664496120987458
twitter,0.2983272784152409
lol,0.09652408741585049
song,1.5520642917771454
doe,0.025778428990428676
watch video,0.03356727859697371
amp,0.26094507039835013
realli appreci,0.0009557222695239975
free,0.6723945083636242
kati perri,0.06532986594045281
year old,0.010998390613785236
advertis,0.009933803499929313
money,1.8886095836271801
money onlin,0.005511739946236587
make money onlin,0.011162158933421547
rihanna,0.006398187213688544
thing,0.035961966571046465
spam,0.00024651505426226514
cover,0.19829824850545955
home,0.13761291653220933
com make,0.028970843070009068
hit,0.053088079853372314
video youtub,1.655620837114676
beauti,0.03256798081829581
plz,0.13735504133614096
sorri,0.008574124408812287
psi,0.09706762344093299
omg,0.018702644216642132
ani,0.02982613265176845
nice,0.05231148668403501
subscrib like,0.06906437748345977
read,0.08883792601072421
work home,0.005478530235282505
cool,0.017742458253617782
fan,0.018420904337902416
wa,0.18987035212114928
traffic_group_peak,0.27715728443610466
follow,0.3642072004011247
singer,0.019936791967696734
waka,0.02577733501908558
wow,0.022481196959025524
old,0.030640913042873932
time,0.048907947251211156
make month,0.06411748495455316
plea check,0.07647584888429924
know,0.14927179198769833
url_presence,11.79832377634065
len_review,5.268125232984565
